lr | lambda | inverse_beta | M | wdecay | opt-rate| regret
0.001 | 0.01| 0.001 | 100 | 0.01 | 0.109 | 0.23830891195469148
0.001 | 0.01| 1e-05 | 20 | 0.001 | 0.092 | 0.2182102675727141
0.001 | 0.01| 1e-06 | 50 | 0.001 | 0.101 | 0.217341963636395
0.001 | 0.01| 0.0001 | 1 | 0.001 | 0.096 | 0.23743827889238941
0.001 | 0.01| 0.0001 | 10 | 0.001 | 0.093 | 0.25002910815619156
0.001 | 0.01| 1e-06 | 100 | 0.001 | 0.091 | 0.23307159096142566
0.001 | 0.01| 0.0001 | 20 | 0.001 | 0.089 | 0.25015131969390864
0.001 | 0.01| 1e-05 | 50 | 0.001 | 0.109 | 0.22801469620949302
0.001 | 0.01| 0.001 | 1 | 0.001 | 0.099 | 0.24760891040351965
0.001 | 0.01| 0.001 | 10 | 0.001 | 0.104 | 0.22617655992171334
0.001 | 0.01| 1e-05 | 100 | 0.001 | 0.099 | 0.22825785898999748
0.001 | 0.01| 0.001 | 20 | 0.001 | 0.101 | 0.23376087563639583
0.001 | 0.01| 0.0001 | 50 | 0.001 | 0.097 | 0.2431477267539034
0.001 | 0.01| 1e-06 | 1 | 0.0001 | 0.105 | 0.2646247888166911
0.001 | 0.01| 1e-06 | 10 | 0.0001 | 0.0935 | 0.2717112175692599
0.001 | 0.01| 0.0001 | 100 | 0.001 | 0.1 | 0.228062336239464
0.001 | 0.01| 1e-06 | 20 | 0.0001 | 0.0885 | 0.22304131374587488
0.001 | 0.01| 0.001 | 50 | 0.001 | 0.078 | 0.25743218988102645
0.001 | 0.01| 1e-05 | 1 | 0.0001 | 0.0995 | 0.26535248809981443
0.001 | 0.01| 1e-05 | 10 | 0.0001 | 0.084 | 0.2762265556767078
0.001 | 0.01| 0.001 | 100 | 0.001 | 0.114 | 0.23214216656998024
0.001 | 0.01| 1e-05 | 20 | 0.0001 | 0.091 | 0.2201705253935673
0.001 | 0.01| 1e-06 | 50 | 0.0001 | 0.102 | 0.21816790199306577
0.001 | 0.01| 0.0001 | 1 | 0.0001 | 0.096 | 0.23685389706505822
0.001 | 0.01| 0.0001 | 10 | 0.0001 | 0.094 | 0.2481250563582586
0.001 | 0.01| 1e-06 | 100 | 0.0001 | 0.0915 | 0.23226179637265448
0.001 | 0.01| 0.0001 | 20 | 0.0001 | 0.0895 | 0.2502372936740239
0.001 | 0.01| 1e-05 | 50 | 0.0001 | 0.106 | 0.2274926487887882
